Name                                                                        Stmts   Miss  Cover
-----------------------------------------------------------------------------------------------
/home/olivier/workspace/PyPoser/src/pypos3d/__init__.py                         4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/ChannelImportAnalysis.py     353     12    97%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/Figure.py                    976     67    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/GeomCustom.py                172     12    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserBasic.py                853     36    96%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserFile.py                 650     62    90%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/PoserMeshed.py               778     50    94%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/SimpleAttribut.py            273     18    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/StructuredAttribut.py       1208     90    93%
/home/olivier/workspace/PyPoser/src/pypos3d/pftk/__init__.py                    4      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxBasic.py               212      6    97%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/MxStdModel.py            344     27    92%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/PropSlim.py              203     12    94%
/home/olivier/workspace/PyPoser/src/pypos3d/propslim/__init__.py               12      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/GeomGroup.py                 908     37    96%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PaveList2D.py                 66      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/PoserFileParser.py           112     10    91%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/Repere.py                     63      0   100%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WFBasic.py                  1194     86    93%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/WaveGeom.py                 1286     88    93%
/home/olivier/workspace/PyPoser/src/pypos3d/wftk/__init__.py                    4      0   100%
-----------------------------------------------------------------------------------------------
TOTAL                                                                        9675    613    94%
