formula,Density Score,Peak Score
Ca3Au,3.615,0.231
Li3Au,3.272,0.577
Sr6Sn2NO,3.187,1.404
Li7Sn2,3.116,0.330
SrLi4N2,3.115,0.315
Rb3Mg,2.687,-0.792
LiErGe,2.509,-0.718
Er2ZnRu,2.416,0.664
Ca3BiSb,2.382,-0.401
LiB,2.243,1.512
LiLuPt2,2.037,0.056
Sm2AgSn,1.971,0.410
Yb2SbAu,1.908,0.025
Yb2AgSn,1.883,0.164
Sr3MnN3,1.865,1.337
Pr2ZnHg,1.636,0.146
HoTmMg2,1.585,-0.094
Nd2CdIn,1.558,-0.006
CaSmZn2,1.520,0.006
LiTmHg2,1.462,-0.151
LiTmIn2,1.402,-0.011
NdTmTl2,1.341,-0.154
Li4UO5,1.222,0.189
P3N5,1.098,2.093
CrPO4,0.728,1.272
ErB2Rh2C,0.689,1.136
ZrH3,0.611,1.465
MnAlRh2,0.466,0.705
BeGaRh2,0.381,0.528
Mn3O4,0.344,1.252
Sc2CoRu,0.331,0.530
TiBiRh,0.323,-0.119
P2Pb2O7,0.273,0.792
NdBPd3,0.263,0.764
Ca2MnO4,0.252,1.231
DyIr3,0.249,0.784
Fe2W,0.243,0.297
CeIr2,0.239,0.192
CaPd3O4,0.176,0.396
Al(SnO2)2,0.166,0.596
TbGaRh2,0.129,0.567
Ho2CF2,0.101,0.218
Mg(BeN)2,0.090,0.627
Cu3P,0.085,0.468
ScNbOs2,0.080,0.045
TmHfRu2,0.077,-0.787
Na2Hf2O5,0.056,0.810
MgSiN2,0.053,0.394
Hf4N3,0.050,-0.254
Sm2Zr2O7,0.034,0.518
ThSiO4,-0.034,-0.493
CrGaP2,-0.040,0.323
HfPbO3,-0.079,-0.670
ZnCo3C,-0.096,-0.062
SmMn2O5,-0.139,-0.697
V2C,-0.141,-0.498
SF6,-0.145,-0.956
Fe3Sn2,-0.146,-0.064
CaCu2O3,-0.161,0.068
BaTiS3,-0.176,0.146
CeNiC2,-0.185,-0.370
Ti2GaC,-0.186,-0.777
LiAlPt2,-0.187,0.112
K2SnCl6,-0.191,0.584
Pr(CoSi)2,-0.200,0.121
Ho(SiRu)2,-0.201,-0.620
Ga2CoS4,-0.222,-0.105
RbSbO3,-0.227,0.370
TaNiGe,-0.245,-1.151
Cs2CrCl4,-0.248,0.188
Cr2FeS4,-0.254,-0.023
MnSbPd2,-0.266,-0.910
DyCuSeO,-0.284,-0.113
Nd(CoSi)2,-0.290,-0.064
Ho2Cr2C3,-0.300,-0.164
TbNi2,-0.305,-0.079
YNiSb,-0.331,0.029
U2CrN3,-0.381,0.219
BaTe2,-0.386,-0.381
Ni2Ge,-0.437,-0.717
Sc3AlC,-0.476,-1.014
Cs2PbCl6,-0.481,-0.135
AsPdSe,-0.568,0.008
LaCu2,-0.590,-0.770
Sc,-0.611,-1.801
Cs2RbInF6,-0.612,-0.452
CuAs,-0.652,-0.594
In2Se3,-0.748,-1.543
YMg2,-0.749,-0.100
LiZnAu2,-0.771,-0.637
ZrGeTe,-0.793,-1.242
Rb2Cr(BrCl)2,-0.816,-1.105
MgS,-0.824,-1.002
CdCl2,-0.886,-1.890
Sc2CdAg,-0.931,-1.893
TbCd3,-0.939,-0.437
Sr(ZnGe)2,-0.989,-1.091
ErCdCu4,-1.010,-0.989
Ba(CdAs)2,-1.133,-1.589
HoCd3,-1.176,-0.954
