formula,Density Score,Peak Score
Ca3Au,2.853,0.231
Sr6Sn2NO,2.633,1.404
Li3Au,2.433,0.577
SrLi4N2,2.383,0.315
Li7Sn2,2.322,0.330
Rb3Mg,1.962,-0.792
LiErGe,1.921,-0.718
Er2ZnRu,1.887,0.664
LiB,1.862,1.512
Ca3BiSb,1.731,-0.401
Sr3MnN3,1.541,1.337
LiLuPt2,1.525,0.056
Yb2SbAu,1.466,0.025
Sm2AgSn,1.393,0.410
Yb2AgSn,1.368,0.164
P3N5,1.166,2.093
Pr2ZnHg,1.109,0.146
HoTmMg2,1.069,-0.094
CaSmZn2,1.047,0.006
Nd2CdIn,1.027,-0.006
LiTmIn2,0.993,-0.011
LiTmHg2,0.938,-0.151
Li4UO5,0.915,0.189
NdTmTl2,0.842,-0.154
CrPO4,0.727,1.272
ErB2Rh2C,0.620,1.136
ZrH3,0.612,1.465
TiBiRh,0.402,-0.119
Mn3O4,0.383,1.252
MnAlRh2,0.369,0.705
P2Pb2O7,0.343,0.792
Sc2CoRu,0.305,0.530
Ca2MnO4,0.292,1.231
BeGaRh2,0.291,0.528
Al(SnO2)2,0.252,0.596
Fe2W,0.234,0.297
DyIr3,0.194,0.784
NdBPd3,0.185,0.764
CeIr2,0.165,0.192
CaPd3O4,0.155,0.396
MgSiN2,0.142,0.394
Hf4N3,0.108,-0.254
Mg(BeN)2,0.099,0.627
Sm2Zr2O7,0.079,0.518
TbGaRh2,0.045,0.567
ScNbOs2,0.025,0.045
V2C,0.024,-0.498
Na2Hf2O5,0.022,0.810
ThSiO4,0.003,-0.493
CrGaP2,0.001,0.323
TmHfRu2,-0.001,-0.787
Ho2CF2,-0.008,0.218
Cu3P,-0.013,0.468
SF6,-0.060,-0.956
HfPbO3,-0.088,-0.670
SmMn2O5,-0.093,-0.697
Ti2GaC,-0.123,-0.777
CaCu2O3,-0.165,0.068
Ho(SiRu)2,-0.176,-0.620
ZnCo3C,-0.190,-0.062
Cr2FeS4,-0.192,-0.023
Ga2CoS4,-0.201,-0.105
Cs2CrCl4,-0.230,0.188
CeNiC2,-0.231,-0.370
Pr(CoSi)2,-0.232,0.121
K2SnCl6,-0.233,0.584
Fe3Sn2,-0.248,-0.064
BaTiS3,-0.249,0.146
LiAlPt2,-0.263,0.112
RbSbO3,-0.286,0.370
TaNiGe,-0.286,-1.151
DyCuSeO,-0.308,-0.113
Nd(CoSi)2,-0.314,-0.064
TbNi2,-0.329,-0.079
Ho2Cr2C3,-0.347,-0.164
U2CrN3,-0.372,0.219
MnSbPd2,-0.372,-0.910
YNiSb,-0.387,0.029
Sc3AlC,-0.388,-1.014
BaTe2,-0.431,-0.381
AsPdSe,-0.500,0.008
Ni2Ge,-0.523,-0.717
Cs2PbCl6,-0.583,-0.135
CuAs,-0.610,-0.594
Cs2RbInF6,-0.637,-0.452
LaCu2,-0.648,-0.770
In2Se3,-0.664,-1.543
Sc,-0.685,-1.801
ZrGeTe,-0.757,-1.242
YMg2,-0.775,-0.100
MgS,-0.804,-1.002
CdCl2,-0.816,-1.890
LiZnAu2,-0.821,-0.637
Rb2Cr(BrCl)2,-0.836,-1.105
Sc2CdAg,-0.951,-1.893
Sr(ZnGe)2,-0.994,-1.091
TbCd3,-1.042,-0.437
ErCdCu4,-1.094,-0.989
Ba(CdAs)2,-1.136,-1.589
HoCd3,-1.284,-0.954
