formula,prediction,density,Density Score,index
Ca3Au,71.440,0.141,2.853,1065
Sr6Sn2NO,118.200,0.172,2.633,8034
Li3Au,56.579,0.151,2.433,4140
SrLi4N2,64.458,0.157,2.383,8126
Li7Sn2,49.286,0.152,2.322,4239
Rb3Mg,5.649,0.146,1.962,6861
LiErGe,40.474,0.164,1.921,4381
Er2ZnRu,109.614,0.197,1.887,2366
LiB,118.463,0.203,1.862,4293
Ca3BiSb,49.694,0.175,1.731,1069
Sr3MnN3,105.408,0.209,1.541,8007
LiLuPt2,76.144,0.196,1.525,4478
Yb2SbAu,53.113,0.188,1.466,9975
Sm2AgSn,75.145,0.201,1.393,7571
Yb2AgSn,58.505,0.194,1.368,9954
P3N5,200.421,0.269,1.166,6305
Pr2ZnHg,55.272,0.203,1.109,6558
HoTmMg2,45.313,0.200,1.069,3325
CaSmZn2,43.022,0.199,1.047,1307
Nd2CdIn,49.013,0.203,1.027,6000
LiTmIn2,40.474,0.200,0.993,4641
LiTmHg2,33.204,0.199,0.938,4640
Li4UO5,69.932,0.217,0.915,4204
NdTmTl2,36.367,0.204,0.842,6155
CrPO4,168.048,0.271,0.727,1787
ErB2Rh2C,195.810,0.288,0.620,2384
ZrH3,136.820,0.261,0.612,10471
TiBiRh,178.190,0.289,0.402,8848
Mn3O4,145.852,0.274,0.383,5230
MnAlRh2,181.872,0.292,0.369,5266
P2Pb2O7,128.230,0.267,0.343,6298
Sc2CoRu,165.547,0.286,0.305,7168
Ca2MnO4,103.791,0.258,0.292,1030
BeGaRh2,174.996,0.291,0.291,852
Al(SnO2)2,126.388,0.270,0.252,139
Fe2W,166.909,0.290,0.234,2569
DyIr3,151.946,0.284,0.194,2263
NdBPd3,164.868,0.291,0.185,6045
CeIr2,150.326,0.285,0.165,1545
CaPd3O4,132.461,0.277,0.155,1270
MgSiN2,128.148,0.275,0.142,5115
Hf4N3,153.215,0.288,0.108,2946
Mg(BeN)2,131.782,0.279,0.099,4839
Sm2Zr2O7,105.040,0.267,0.079,7608
TbGaRh2,144.545,0.287,0.045,8438
ScNbOs2,140.033,0.285,0.025,7384
V2C,141.209,0.286,0.024,9401
Na2Hf2O5,89.112,0.262,0.022,5475
ThSiO4,108.012,0.271,0.003,8639
CrGaP2,130.590,0.282,0.001,1766
TmHfRu2,132.482,0.283,-0.001,9217
Ho2CF2,56.910,0.248,-0.008,3185
Cu3P,150.118,0.292,-0.013,2071
SF6,20.537,0.233,-0.060,7074
HfPbO3,104.099,0.273,-0.088,3060
SmMn2O5,104.527,0.273,-0.093,7724
Ti2GaC,133.201,0.288,-0.123,8693
CaCu2O3,102.374,0.275,-0.165,1177
Ho(SiRu)2,123.002,0.285,-0.176,3178
ZnCo3C,135.549,0.292,-0.190,10231
Cr2FeS4,106.959,0.278,-0.192,1698
Ga2CoS4,95.372,0.273,-0.201,2674
Cs2CrCl4,48.154,0.252,-0.230,1826
CeNiC2,120.186,0.286,-0.231,1560
Pr(CoSi)2,119.226,0.286,-0.232,6525
K2SnCl6,53.718,0.255,-0.233,3510
Fe3Sn2,131.277,0.292,-0.248,2587
BaTiS3,68.359,0.263,-0.249,751
LiAlPt2,103.736,0.280,-0.263,4281
RbSbO3,55.562,0.258,-0.286,6979
TaNiGe,124.341,0.290,-0.286,8321
DyCuSeO,88.410,0.274,-0.308,2242
Nd(CoSi)2,112.036,0.286,-0.314,5981
TbNi2,104.590,0.283,-0.329,8458
Ho2Cr2C3,99.339,0.281,-0.347,3189
U2CrN3,121.549,0.292,-0.372,9287
MnSbPd2,119.798,0.292,-0.372,5373
YNiSb,85.258,0.276,-0.387,9851
Sc3AlC,109.348,0.287,-0.388,7232
BaTe2,36.238,0.255,-0.431,744
AsPdSe,84.680,0.280,-0.500,352
Ni2Ge,107.861,0.292,-0.523,6171
Cs2PbCl6,25.774,0.256,-0.583,1870
CuAs,77.074,0.281,-0.610,2091
Cs2RbInF6,13.395,0.252,-0.637,1888
LaCu2,82.082,0.285,-0.648,3852
In2Se3,47.975,0.269,-0.664,3346
Sc,65.196,0.278,-0.685,7129
ZrGeTe,74.328,0.285,-0.757,10467
YMg2,62.675,0.281,-0.775,9816
MgS,48.608,0.275,-0.804,5093
CdCl2,22.257,0.263,-0.816,1387
LiZnAu2,56.818,0.280,-0.821,4682
Rb2Cr(BrCl)2,-0.749,0.253,-0.836,6763
Sc2CdAg,61.966,0.287,-0.951,7161
Sr(ZnGe)2,49.682,0.283,-0.994,7904
TbCd3,51.666,0.286,-1.042,8415
ErCdCu4,60.855,0.292,-1.094,2394
Ba(CdAs)2,36.192,0.282,-1.136,422
HoCd3,31.563,0.286,-1.284,3230
