Type (Material of Interior of Setting); Brand (ID|Naam);Collection (ID|Naam);Interior (ID|Naam);Parts (Naam is voldoende, in een URL zal altijd de naam in lowercase gebruikt kunnen worden, bv. ?paint=...);Colors (ID of Designnummer|Naam);Moods (ID|Naam, gescheiden door + om een kleur of stof aan meerdere moods te koppelen);Mood Collection (ID|Naam, gescheiden door + om een kleur of stof aan meerdere mood collections te koppelen);Extra
Material;;;;Fabric;FOL1201|Timeless Angora;kombu-green|Kombu Green;;
Material;;;;Fabric;FOL1202|Timeless Oyster;purple-opulence|Purple Opulence;;
Material;;;;Fabric;FOL1203|Timeless Stone;snow-leopard|Snow Leopard;;
Material;;;;Fabric;FOL1204|Timeless Moon;snow-leopard|Snow Leopard;;
Material;;;;Fabric;FOL1207|Timeless Oasis;kombu-green|Kombu Green;;
Material;;;;Fabric;FOL1208|Timeless Dew;after-dark|After Dark;;
Material;;;;Fabric;FOL1301|Lugosi Eclipse;peacock-green|Peacock Green;;
Material;;;;Fabric;FOL1302|Lugosi Burgundy;rumba-red|Rumba Red;;
Material;;;;Fabric;LILI001|Atrition Oyster;after-dark|After Dark;;
Material;;;;Fabric;LILI002|Atrition Oatmeal;snow-leopard|Snow Leopard;;
Material;;;;Fabric;LILI003|Atrition Black;purple-opulence|Purple Opulence;;
Material;;;;Fabric;LILI004|Atrition Paprika;kombu-green|Kombu Green;;
Material;;;;Fabric;LILI006|Atrition Antilope;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI007|Atrition Navy;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI009|Atrition Lagoon;peacock-green|Peacock Green;;
Material;;;;Fabric;LILI012|Atrition Stone;snow-leopard|Snow Leopard;;
Material;;;;Fabric;VELV001|Velvet Red;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV002|Velvet Silver;after-dark|After Dark;;
Material;;;;Fabric;VELV004|Velvet Snow;purple-opulence|Purple Opulence+kombu-green|Kombu Green+snow-leopard|Snow Leopard+after-dark|After Dark;;
Material;;;;Fabric;VELV005|Velvet Brown;kombu-green|Kombu Green;;
Material;;;;Fabric;VELV007|Velvet Linen;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV012|Velvet Steel;after-dark|After Dark;;
Material;;;;Fabric;VELV019|Velvet Terra;rumba-red|Rumba Red+purple-opulence|Purple Opulence;;
Material;;;;Fabric;VELV021|Velvet Curry;purple-opulence|Purple Opulence;;
Material;;;;Fabric;VELV022|Velvet Henna;rumba-red|Rumba Red;;
Material;;;;Fabric;VELV023|Velvet Caviar;snow-leopard|Snow Leopard+after-dark|After Dark+rumba-red|Rumba Red;;
Material;;;;Fabric;VELV024|Velvet Oasis;kombu-green|Kombu Green;;
Material;;;;Fabric;VELV025|Velvet Shadow;after-dark|After Dark;;
Material;;;;Fabric;VELV026|Velvet Ivory;peacock-green|Peacock Green;;
Material;;;;Paint;COL1002|Bleached Sand;snow-leopard|Snow Leopard+peacock-green|Peacock Green;;
Material;;;;Paint;COL1004|Vanilla Milk;snow-leopard|Snow Leopard+after-dark|After Dark;;
Material;;;;Paint;COL1006|Pale Taupe;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1007|Mountain Top;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1013|Jungle Ground;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1019|Warm Olive;kombu-green|Kombu Green;;
Material;;;;Paint;COL1020|Evening Star;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1022|Whisper White;snow-leopard|Snow Leopard+peacock-green|Peacock Green+after-dark|After Dark;;
Material;;;;Paint;COL1024|Timber Wolf;snow-leopard|Snow Leopard;;
Material;;;;Paint;COL1108|Lemon Chiffon;kombu-green|Kombu Green;;
Material;;;;Paint;COL1109|Winter Leaf;kombu-green|Kombu Green;;
Material;;;;Paint;COL1110|Bronze Green;kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1221|Sunset Gold;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1224|Cocoon Moss;kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1306|Red Brick;rumba-red|Rumba Red;;
Material;;;;Paint;COL1310|Deep Lavende;rumba-red|Rumba Red;;
Material;;;;Paint;COL1312|Dusty Grey;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1318|Purple Grape;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1401|Light Shadow;after-dark|After Dark;;
Material;;;;Paint;COL1402|Dark Slate;after-dark|After Dark;;
Material;;;;Paint;COL1405|Pagoda Blue;peacock-green|Peacock Green;;
Material;;;;Paint;COL1417|Black Caviar;after-dark|After Dark+snow-leopard|Snow Leopard+purple-opulence|Purple Opulence+kombu-green|Kombu Green+peacock-green|Peacock Green;;
Material;;;;Paint;COL1419|Griffin Grey;after-dark|After Dark;;
Material;;;;Paint;COL1420|Mediterranea Turquoise;peacock-green|Peacock Green;;
Material;;;;Paint;COL1421|Amparo Blue;peacock-green|Peacock Green;;
Material;;;;Paint;COL1503|Tender Taupe;after-dark|After Dark;;
Material;;;;Paint;COL1511|Burning Sun;purple-opulence|Purple Opulence;;
Material;;;;Paint;COL1519|Sand Stone;kombu-green|Kombu Green;;
Material;;;;Paint;COL1520|Snow White;rumba-red|Rumba Red;;
Material;;;;Paint;COL1521|Old Linen;rumba-red|Rumba Red;;
Material;;;;Paint;COL1522|Dark Latte;rumba-red|Rumba Red;;
Material;;;;Paint;COL1523|Terra Cotta;rumba-red|Rumba Red;;
Material;;;;Paint;COL1524|Mocha Bran;rumba-red|Rumba Red;;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB001|Baraque Peacock;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB002|Baraque Cement;snow-leopard|Snow Leopard;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB003|Baraque Moonbeam;snow-leopard|Snow Leopard+peacock-green|Peacock Green+purple-opulence|Purple Opulence+after-dark|After Dark;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB004|Baraque Aqua;peacock-green|Peacock Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB005|Baraque Jungle;peacock-green|Peacock Green+kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
Material;khroma|Khrôma;CAB|Cabinet De Curiosities;;Wallpaper;CAB006|Baraque Mandarin;purple-opulence|Purple Opulence+kombu-green|Kombu Green;CAB|Cabinet De Curiosities;
