formula,prediction,density,Density Score,index
Sr6Sn2NO,118.188,0.142,2.086,8034
Ca3Au,71.424,0.114,2.035,1065
Li3Au,56.572,0.118,1.824,4140
SrLi4N2,64.435,0.125,1.788,8126
Li7Sn2,49.285,0.120,1.704,4239
Er2ZnRu,109.618,0.167,1.580,2366
LiB,118.435,0.173,1.579,4293
LiErGe,40.481,0.133,1.389,4381
Sr3MnN3,105.390,0.178,1.345,8007
Rb3Mg,5.618,0.113,1.343,6861
Ca3BiSb,49.679,0.143,1.333,1069
Sm2AgSn,75.147,0.169,1.180,7571
LiLuPt2,76.143,0.171,1.154,4478
Yb2SbAu,53.112,0.160,1.089,9975
Yb2AgSn,58.508,0.163,1.085,9954
Pr2ZnHg,55.234,0.171,0.924,6558
HoTmMg2,45.310,0.169,0.846,3325
Nd2CdIn,48.983,0.173,0.823,6000
Li4UO5,69.913,0.187,0.814,4204
P3N5,200.401,0.272,0.812,6305
CaSmZn2,42.997,0.170,0.809,1307
LiTmIn2,40.466,0.173,0.736,4641
LiTmHg2,33.165,0.169,0.718,4640
CrPO4,168.037,0.258,0.707,1787
ErB2Rh2C,195.815,0.278,0.672,2384
NdTmTl2,36.352,0.175,0.659,6155
Mn3O4,145.842,0.262,0.402,5230
MnAlRh2,181.893,0.285,0.398,5266
ZrH3,136.817,0.258,0.357,10471
BeGaRh2,175.005,0.286,0.322,852
TiBiRh,178.212,0.288,0.314,8848
Ca2MnO4,103.772,0.240,0.307,1030
P2Pb2O7,128.208,0.257,0.285,6298
CaPd3O4,132.445,0.262,0.257,1270
NdBPd3,164.856,0.283,0.253,6045
Fe2W,166.920,0.285,0.246,2569
Al(SnO2)2,126.398,0.260,0.213,139
Sc2CoRu,165.558,0.286,0.210,7168
DyIr3,151.966,0.279,0.188,2263
CeIr2,150.349,0.278,0.184,1545
Sm2Zr2O7,105.040,0.249,0.166,7608
Na2Hf2O5,89.101,0.243,0.103,5475
TbGaRh2,144.565,0.282,0.054,8438
Cu3P,150.116,0.286,0.054,2071
Mg(BeN)2,131.766,0.274,0.044,4839
Hf4N3,153.220,0.289,0.029,2946
CrGaP2,130.594,0.274,0.026,1766
ThSiO4,108.008,0.260,0.016,8639
MgSiN2,128.155,0.274,0.003,5115
TmHfRu2,132.498,0.277,0.002,9217
Ho2CF2,56.888,0.228,-0.002,3185
ScNbOs2,140.049,0.285,-0.040,7384
SmMn2O5,104.519,0.262,-0.045,7724
HfPbO3,104.092,0.262,-0.048,3060
Cr2FeS4,106.944,0.264,-0.049,1698
CaCu2O3,102.355,0.261,-0.060,1177
ZnCo3C,135.538,0.285,-0.102,10231
V2C,141.206,0.289,-0.107,9401
BaTiS3,68.337,0.243,-0.118,751
Fe3Sn2,131.293,0.284,-0.131,2587
Pr(CoSi)2,119.242,0.277,-0.134,6525
CeNiC2,120.196,0.279,-0.155,1560
Ho(SiRu)2,123.018,0.281,-0.162,3178
Ga2CoS4,95.361,0.263,-0.165,2674
DyCuSeO,88.388,0.259,-0.166,2242
Cs2CrCl4,48.105,0.233,-0.179,1826
Ti2GaC,133.216,0.289,-0.183,8693
K2SnCl6,53.688,0.237,-0.187,3510
RbSbO3,55.539,0.240,-0.222,6979
Nd(CoSi)2,112.045,0.277,-0.225,5981
TaNiGe,124.370,0.288,-0.258,8321
U2CrN3,121.534,0.286,-0.259,9287
MnSbPd2,119.803,0.286,-0.284,5373
TbNi2,104.603,0.277,-0.292,8458
BaTe2,36.190,0.235,-0.332,744
AsPdSe,84.650,0.267,-0.354,352
LiAlPt2,103.741,0.282,-0.395,4281
Ni2Ge,107.891,0.285,-0.397,6171
YNiSb,85.263,0.271,-0.407,9851
SF6,20.490,0.229,-0.419,7074
Sc3AlC,109.357,0.288,-0.433,7232
Ho2Cr2C3,99.335,0.282,-0.443,3189
Cs2PbCl6,25.721,0.237,-0.488,1870
Cs2RbInF6,13.356,0.232,-0.532,1888
LaCu2,82.078,0.277,-0.544,3852
CuAs,77.070,0.276,-0.581,2091
ZrGeTe,74.328,0.275,-0.593,10467
In2Se3,47.929,0.259,-0.615,3346
MgS,48.582,0.265,-0.706,5093
YMg2,62.674,0.275,-0.708,9816
Rb2Cr(BrCl)2,-0.800,0.233,-0.713,6763
Sc,65.203,0.278,-0.736,7129
CdCl2,22.174,0.253,-0.784,1387
Sr(ZnGe)2,49.673,0.273,-0.817,7904
TbCd3,51.630,0.279,-0.900,8415
ErCdCu4,60.833,0.286,-0.911,2394
LiZnAu2,56.803,0.283,-0.913,4682
Ba(CdAs)2,36.145,0.270,-0.915,422
Sc2CdAg,61.939,0.287,-0.916,7161
HoCd3,31.519,0.278,-1.106,3230
