formula,Density Score,Peak Score
Sr6Sn2NO,2.086,1.404
Ca3Au,2.035,0.231
Li3Au,1.824,0.577
SrLi4N2,1.788,0.315
Li7Sn2,1.704,0.331
Er2ZnRu,1.580,0.664
LiB,1.579,1.513
LiErGe,1.389,-0.718
Sr3MnN3,1.345,1.338
Rb3Mg,1.343,-0.792
Ca3BiSb,1.333,-0.401
Sm2AgSn,1.180,0.411
LiLuPt2,1.154,0.057
Yb2SbAu,1.089,0.025
Yb2AgSn,1.085,0.164
Pr2ZnHg,0.924,0.146
HoTmMg2,0.846,-0.093
Nd2CdIn,0.823,-0.006
Li4UO5,0.814,0.189
P3N5,0.812,2.093
CaSmZn2,0.809,0.006
LiTmIn2,0.736,-0.011
LiTmHg2,0.718,-0.152
CrPO4,0.707,1.273
ErB2Rh2C,0.672,1.136
NdTmTl2,0.659,-0.154
Mn3O4,0.402,1.253
MnAlRh2,0.398,0.706
ZrH3,0.357,1.465
BeGaRh2,0.322,0.529
TiBiRh,0.314,-0.119
Ca2MnO4,0.307,1.232
P2Pb2O7,0.285,0.793
CaPd3O4,0.257,0.396
NdBPd3,0.253,0.764
Fe2W,0.246,0.298
Al(SnO2)2,0.213,0.597
Sc2CoRu,0.210,0.530
DyIr3,0.188,0.784
CeIr2,0.184,0.193
Sm2Zr2O7,0.166,0.518
Na2Hf2O5,0.103,0.811
TbGaRh2,0.054,0.568
Cu3P,0.054,0.468
Mg(BeN)2,0.044,0.627
Hf4N3,0.029,-0.254
CrGaP2,0.026,0.324
ThSiO4,0.016,-0.492
MgSiN2,0.003,0.395
TmHfRu2,0.002,-0.787
Ho2CF2,-0.002,0.218
ScNbOs2,-0.040,0.046
SmMn2O5,-0.045,-0.697
HfPbO3,-0.048,-0.669
Cr2FeS4,-0.049,-0.023
CaCu2O3,-0.060,0.069
ZnCo3C,-0.102,-0.062
V2C,-0.107,-0.498
BaTiS3,-0.118,0.146
Fe3Sn2,-0.131,-0.064
Pr(CoSi)2,-0.134,0.122
CeNiC2,-0.155,-0.370
Ho(SiRu)2,-0.162,-0.620
Ga2CoS4,-0.165,-0.104
DyCuSeO,-0.166,-0.112
Cs2CrCl4,-0.179,0.188
Ti2GaC,-0.183,-0.776
K2SnCl6,-0.187,0.584
RbSbO3,-0.222,0.371
Nd(CoSi)2,-0.225,-0.063
TaNiGe,-0.258,-1.150
U2CrN3,-0.259,0.219
MnSbPd2,-0.284,-0.910
TbNi2,-0.292,-0.079
BaTe2,-0.332,-0.381
AsPdSe,-0.354,0.008
LiAlPt2,-0.395,0.113
Ni2Ge,-0.397,-0.717
YNiSb,-0.407,0.030
SF6,-0.419,-0.957
Sc3AlC,-0.433,-1.014
Ho2Cr2C3,-0.443,-0.164
Cs2PbCl6,-0.488,-0.135
Cs2RbInF6,-0.532,-0.452
LaCu2,-0.544,-0.770
CuAs,-0.581,-0.594
ZrGeTe,-0.593,-1.242
In2Se3,-0.615,-1.543
MgS,-0.706,-1.002
YMg2,-0.708,-0.099
Rb2Cr(BrCl)2,-0.713,-1.106
Sc,-0.736,-1.801
CdCl2,-0.784,-1.891
Sr(ZnGe)2,-0.817,-1.091
TbCd3,-0.900,-0.438
ErCdCu4,-0.911,-0.989
LiZnAu2,-0.913,-0.637
Ba(CdAs)2,-0.915,-1.590
Sc2CdAg,-0.916,-1.893
HoCd3,-1.106,-0.955
