formula,prediction,density,Density Score,index
Ca3Au,71.440,0.117,4.188,1065
Li3Au,56.579,0.123,3.828,4140
Li7Sn2,49.286,0.126,3.656,4239
SrLi4N2,64.458,0.135,3.578,8126
Sr6Sn2NO,118.200,0.157,3.576,8034
Rb3Mg,5.649,0.122,3.264,6861
LiErGe,40.474,0.146,2.970,4381
Ca3BiSb,49.694,0.158,2.745,1069
LiB,118.463,0.195,2.473,4293
Er2ZnRu,109.614,0.193,2.432,2366
LiLuPt2,76.144,0.187,2.212,4478
Sr3MnN3,105.408,0.201,2.159,8007
Yb2SbAu,53.113,0.184,2.033,9975
Yb2AgSn,58.505,0.189,1.932,9954
Sm2AgSn,75.145,0.197,1.910,7571
Pr2ZnHg,55.272,0.197,1.683,6558
HoTmMg2,45.313,0.193,1.681,3325
CaSmZn2,43.022,0.194,1.628,1307
LiTmIn2,40.474,0.193,1.626,4641
LiTmHg2,33.204,0.191,1.583,4640
Nd2CdIn,49.013,0.199,1.555,6000
Li4UO5,69.932,0.209,1.490,4204
NdTmTl2,36.367,0.201,1.340,6155
P3N5,200.421,0.276,1.097,6305
CrPO4,168.048,0.273,0.798,1787
ZrH3,136.820,0.263,0.724,10471
ErB2Rh2C,195.810,0.288,0.692,2384
MnAlRh2,181.872,0.290,0.452,5266
DyIr3,151.946,0.280,0.401,2263
Mn3O4,145.852,0.278,0.385,5230
BeGaRh2,174.996,0.290,0.381,852
CeIr2,150.326,0.280,0.370,1545
NdBPd3,164.868,0.287,0.353,6045
Fe2W,166.909,0.288,0.336,2569
P2Pb2O7,128.230,0.274,0.305,6298
Ca2MnO4,103.791,0.264,0.295,1030
TiBiRh,178.190,0.295,0.280,8848
Al(SnO2)2,126.388,0.275,0.249,139
TbGaRh2,144.545,0.282,0.248,8438
Sc2CoRu,165.547,0.291,0.246,7168
TmHfRu2,132.482,0.279,0.212,9217
CaPd3O4,132.461,0.279,0.188,1270
Cu3P,150.118,0.289,0.112,2071
Ho2CF2,56.910,0.252,0.111,3185
SF6,20.537,0.238,0.078,7074
Mg(BeN)2,131.782,0.284,0.048,4839
MgSiN2,128.148,0.283,0.039,5115
ThSiO4,108.012,0.276,0.010,8639
Hf4N3,153.215,0.294,0.003,2946
Na2Hf2O5,89.112,0.268,0.001,5475
LiAlPt2,103.736,0.274,-0.001,4281
ScNbOs2,140.033,0.290,-0.017,7384
CrGaP2,130.590,0.287,-0.040,1766
HfPbO3,104.099,0.276,-0.042,3060
ZnCo3C,135.549,0.290,-0.069,10231
YNiSb,85.258,0.270,-0.081,9851
Sm2Zr2O7,105.040,0.278,-0.087,7608
Ho(SiRu)2,123.002,0.285,-0.087,3178
TbNi2,104.590,0.278,-0.097,8458
SmMn2O5,104.527,0.278,-0.111,7724
Fe3Sn2,131.277,0.290,-0.120,2587
Pr(CoSi)2,119.226,0.285,-0.138,6525
CaCu2O3,102.374,0.279,-0.147,1177
Ho2Cr2C3,99.339,0.278,-0.159,3189
CeNiC2,120.186,0.287,-0.169,1560
V2C,141.209,0.295,-0.170,9401
K2SnCl6,53.718,0.261,-0.188,3510
Nd(CoSi)2,112.036,0.285,-0.214,5981
Ti2GaC,133.201,0.294,-0.225,8693
Cr2FeS4,106.959,0.283,-0.228,1698
Ga2CoS4,95.372,0.279,-0.229,2674
RbSbO3,55.562,0.263,-0.234,6979
Cs2CrCl4,48.154,0.260,-0.238,1826
MnSbPd2,119.798,0.289,-0.243,5373
BaTiS3,68.359,0.269,-0.248,751
DyCuSeO,88.410,0.278,-0.286,2242
TaNiGe,124.341,0.293,-0.290,8321
U2CrN3,121.549,0.294,-0.366,9287
BaTe2,36.238,0.260,-0.389,744
Ni2Ge,107.861,0.290,-0.400,6171
LaCu2,82.082,0.280,-0.424,3852
YMg2,62.675,0.274,-0.481,9816
Sc3AlC,109.348,0.294,-0.512,7232
Cs2PbCl6,25.774,0.261,-0.527,1870
AsPdSe,84.680,0.285,-0.537,352
LiZnAu2,56.818,0.274,-0.539,4682
Cs2RbInF6,13.395,0.257,-0.562,1888
In2Se3,47.975,0.275,-0.676,3346
CuAs,77.074,0.287,-0.685,2091
Sc,65.196,0.283,-0.699,7129
CdCl2,22.257,0.268,-0.772,1387
MgS,48.608,0.279,-0.772,5093
Rb2Cr(BrCl)2,-0.749,0.259,-0.781,6763
ZrGeTe,74.328,0.290,-0.787,10467
TbCd3,51.666,0.281,-0.799,8415
Sr(ZnGe)2,49.682,0.282,-0.850,7904
ErCdCu4,60.855,0.287,-0.884,2394
Ba(CdAs)2,36.192,0.281,-0.978,422
HoCd3,31.563,0.279,-0.991,3230
Sc2CdAg,61.966,0.292,-0.997,7161
