r_list,flux_arr,area_arr,error_arr
1.0,7.696321,2.301498,nan
2.0,27.295206,9.205992,nan
3.0,51.581079,20.713483,nan
4.0,75.651027,36.82397,nan
5.0,97.413961,57.537453,nan
6.0,116.444989,82.853932,nan
7.0,132.824187,112.773408,nan
8.0,146.857094,147.295879,nan
9.0,158.9235,186.421347,nan
10.0,169.262976,230.149811,nan
11.0,178.176089,278.481272,nan
12.0,185.855443,331.415728,nan
13.0,192.572059,388.953181,nan
14.0,198.514369,451.09363,nan
15.0,203.83269,517.837075,nan
16.0,208.628493,589.183517,nan
17.0,212.990925,665.132955,nan
18.0,216.951481,745.685388,nan
19.0,220.568352,830.840819,nan
20.0,223.91354,920.599245,nan
21.0,227.014479,1014.960668,nan
22.0,229.906055,1113.925086,nan
23.0,232.598093,1217.492502,nan
24.0,235.103399,1325.662913,nan
25.0,237.442096,1438.332386,nan
26.0,239.563441,1552.885163,nan
27.0,241.360693,1664.133599,nan
28.0,242.75565,1768.429187,nan
29.0,243.86291,1869.315043,nan
30.0,244.759008,1968.767609,nan
31.0,245.543353,2068.456672,nan
32.0,246.242786,2170.070362,nan
33.0,246.860083,2273.495334,nan
34.0,247.399918,2378.879921,nan
35.0,247.879564,2487.538666,nan
36.0,248.277341,2599.116339,nan
37.0,248.639242,2713.279943,nan
38.0,248.9506,2829.884095,nan
39.0,249.242147,2950.147353,nan
40.0,249.494277,3073.43498,nan
41.0,249.691771,3200.902291,nan
42.0,249.838407,3331.588963,nan
43.0,249.970915,3466.394887,nan
44.0,250.058893,3604.366665,nan
45.0,250.118916,3745.688427,nan
46.0,250.159217,3891.002859,nan
47.0,250.157139,4039.265787,nan
48.0,250.154417,4190.975652,nan
49.0,250.144906,4345.102408,nan
50.0,250.107578,4502.213208,nan
